EventTime	Type	Energy_MeV	Time_ns
3	proton	1.636222	9.958418
3	proton	0.031511	9.961563
5	proton	1.464604	9.006085
5	proton	0.016639	9.008884
6	proton	0.777935	8.645693
6	proton	0.018265	8.647088
6	proton	0.000751	8.647349
9	proton	1.469069	9.321335
9	proton	0.010531	9.324144
10	proton	0.125230	8.774875
10	proton	0.002352	8.775238
18	proton	1.196410	9.780411
18	proton	0.006916	9.782636
29	proton	0.487105	7.973403
29	proton	0.013162	7.974278
29	proton	0.001432	7.974486
29	proton	2.665609	7.879288
29	proton	1.380785	7.883063
35	proton	0.467955	8.849096
36	proton	0.531349	9.097081
36	proton	0.017484	9.098031
36	proton	1.141117	9.089251
46	proton	1.694883	8.538057
46	proton	0.097530	8.541292
46	proton	0.010668	8.541629
61	proton	2.262511	10.042272
61	proton	0.868695	10.045947
65	proton	2.109340	9.678518
65	proton	0.667762	9.682125
68	proton	0.079782	10.594670
68	proton	1.538351	10.070226
73	proton	0.581095	9.582839
73	proton	0.004478	9.583875
76	proton	0.064895	10.231481
76	proton	0.004368	10.231789
76	proton	0.821194	9.533180
76	proton	0.002559	9.534657
78	proton	1.497901	8.817054
83	proton	0.400940	8.215543
83	proton	0.003532	8.216277
83	proton	2.650481	7.777596
83	proton	1.346095	7.781368
83	proton	0.007911	7.783911
87	proton	0.756619	9.531879
90	proton	0.871732	9.320915
90	proton	0.003523	9.322488
93	proton	0.871152	7.393003
99	proton	0.218877	8.646459
105	proton	0.020732	10.295434
117	proton	1.626852	9.407516
117	proton	0.025386	9.410645
117	proton	0.002033	9.410916
122	proton	0.014790	9.190766
122	proton	1.478954	8.933716
122	proton	0.005388	8.936547
136	proton	0.094482	8.794355
141	proton	1.267566	8.598003
161	proton	1.225383	8.740291
161	proton	0.021231	8.742578
162	proton	1.837626	9.909607
162	proton	0.296359	9.913013
162	proton	0.004630	9.913589
170	proton	2.202053	8.460759
170	proton	0.782776	8.464411
171	proton	2.306842	9.085772
171	proton	0.906274	9.089464
171	proton	0.002456	9.091104
180	proton	1.315919	9.433793
180	proton	0.006506	9.436271
181	proton	1.204994	9.511964
181	proton	0.013983	9.514207
181	proton	0.002399	9.514419
190	proton	0.263362	9.396250
204	proton	0.002634	16.031784
204	proton	0.003971	12.814273
204	proton	2.256954	9.837736
204	proton	0.915269	9.841409
211	proton	0.505342	9.009883
216	proton	2.113524	9.160277
216	proton	0.691110	9.163887
216	proton	0.007023	9.165120
217	proton	1.504788	8.487533
217	proton	0.002461	8.490421
234	proton	2.787465	8.636045
234	proton	1.556949	8.639837
234	proton	0.017157	8.642836
234	proton	0.003786	8.643063
242	proton	1.414649	9.753046
242	proton	0.000725	9.755736
264	proton	2.298036	9.951726
264	proton	0.902569	9.955414
264	proton	0.026838	9.957047
274	proton	0.050853	9.447474
275	proton	2.585584	8.132819
275	proton	1.340365	8.136581
277	proton	0.212572	8.934659
277	proton	0.003459	8.935121
278	proton	0.826504	9.460016
281	proton	1.223005	9.818899
281	proton	0.023973	9.821180
281	proton	0.001404	9.821450
281	proton	0.758939	9.254585
281	proton	0.007520	9.255943
296	proton	2.399873	8.672376
296	proton	1.052892	8.676096
296	proton	0.021998	8.678027
296	proton	0.002355	8.678294
303	proton	2.444569	8.249033
303	proton	1.084570	8.252764
304	proton	0.057075	9.391493
304	proton	0.001574	9.391795
318	proton	1.403498	9.875200
328	proton	0.477556	9.596506
328	proton	1.685101	9.160312
328	proton	0.060014	9.163532
329	proton	1.126562	9.102862
336	proton	0.171485	8.929880
336	proton	0.002714	8.930293
347	proton	1.638284	8.911947
347	proton	0.061799	8.915095
353	proton	2.136968	7.970646
353	proton	0.675651	7.974268
357	proton	1.977899	8.962275
357	proton	0.515596	8.965801
359	proton	1.993204	8.831900
359	proton	0.495445	8.835436
359	proton	0.011790	8.836326
362	proton	0.017925	9.617359
362	proton	2.345121	8.719865
362	proton	0.958477	8.723569
364	proton	1.332652	9.608092
364	proton	0.001252	9.610605
370	proton	2.175342	8.747258
370	proton	0.735797	8.750898
379	proton	1.360680	9.500091
379	proton	0.008602	9.502665
383	proton	0.454649	9.324860
383	proton	0.975191	9.030425
394	proton	1.888067	9.762920
394	proton	0.379671	9.766374
394	proton	0.004617	9.767074
398	proton	0.978371	8.786503
400	proton	0.032468	9.860526
400	proton	0.944386	9.348076
400	proton	1.071275	8.815687
400	proton	0.003482	8.817655
401	proton	0.165195	7.385740
405	proton	1.101028	7.984825
405	proton	0.011036	7.986853
409	proton	0.401135	7.533767
409	proton	0.011096	7.534502
417	proton	1.369283	9.805693
417	proton	0.018888	9.808285
418	proton	2.054994	9.037729
418	proton	0.602362	9.041306
422	proton	0.069454	10.373969
422	proton	1.449756	9.870228
426	proton	0.935767	8.407359
426	proton	0.001457	8.409057
440	proton	0.612289	9.148208
440	proton	0.006926	9.149300
445	proton	1.945383	9.687309
445	proton	0.447232	9.690811
445	proton	0.001245	9.691620
445	proton	0.478748	8.748678
447	proton	1.085595	9.902756
452	proton	0.610716	10.083067
452	proton	0.001973	10.084155
453	proton	0.157093	10.312001
453	proton	0.003269	10.312397
453	proton	1.625145	9.741479
453	proton	0.034076	9.744605
453	proton	0.003051	9.744886
453	proton	0.255727	9.366944
454	proton	2.723575	7.851056
454	proton	1.429969	7.854839
454	proton	0.008738	7.857563
455	proton	0.130390	9.372463
457	proton	0.355010	8.246764
457	proton	0.010424	8.247427
460	proton	1.978795	9.241667
460	proton	0.490487	9.245194
460	proton	0.008769	9.246075
460	proton	0.000845	9.246246
470	proton	0.000681	15.365058
470	proton	0.023165	12.951678
470	proton	0.247604	9.832555
470	proton	0.003752	9.833063
470	proton	2.048001	9.257387
470	proton	0.593541	9.260960
490	proton	0.278794	9.841764
490	proton	1.375331	9.559626
490	proton	0.003253	9.562231
491	proton	0.455009	9.589571
491	proton	0.002154	9.590393
494	proton	0.107499	11.033558
503	proton	0.621203	10.128111
503	proton	0.021667	10.129218
503	proton	0.003748	10.129484
504	proton	1.092334	9.151720
510	proton	0.449091	8.368725
510	proton	0.010357	8.369537
518	proton	2.054407	9.019091
518	proton	0.553076	9.022668
518	proton	0.012029	9.023655
526	proton	1.794049	8.983950
526	proton	0.217554	8.987310
534	proton	0.200172	10.492173
536	proton	1.825821	9.523247
536	proton	0.265111	9.526641
536	proton	0.006581	9.527173
553	proton	0.035680	8.188666
553	proton	0.000647	8.188949
558	proton	1.197555	9.733681
559	proton	1.941620	9.012829
559	proton	0.444747	9.016328
559	proton	0.000996	9.017133
560	proton	0.567442	9.257432
568	proton	0.863737	9.650773
568	proton	0.029855	9.652331
568	proton	0.000806	9.652607
569	proton	1.785026	8.837628
569	proton	0.261699	8.840978
588	proton	1.602468	8.129216
589	proton	0.934564	9.438175
596	proton	0.272198	9.440109
596	proton	0.001035	9.440650
598	proton	0.150655	11.834764
598	proton	0.000993	11.835154
598	proton	0.146894	11.631025
598	proton	1.636113	9.456839
